selected_text,sentiment
Yeah ill make sure i keep you updated.. i get it all delivered,3
WE LOVE YOU TOO!!,5
Glad,5
cleaning cleaning cleaning today then working out!  i love not working!,3
t the sad thing is,1
OUCH! my earphones just shocked me,1
.I`m very out of shape,1
se none of my friends liking,1
poor baby girl chloe is freaking out because of all of the noise!  She so cute and pitiful hiding under the middle of the table!,3
e discriminating,1
Would you believe that I`m done with homework for the rest of my life?,3
There`s just something about a sexy blonde **** rubbing herself in a field  http://worldsbestpornmovies.com/faithmov3.htm,3
love,5
sad,1
g.. its so not cool... that is why tapes were better,3
i miss you too,1
"Law and Order! Yeah, I stay home on Sat nite!",3
Nice find,5
an incredibly great day.  hahaha!,5
awww thank you,5
"i did dat 1 time & my boss text me saying, 'tweet me n my office after dis tweeting is ova!' i havent dun it since.",3
roughnight,1
excited,5
i love it wh,5
i will.,5
Rainy day is rainy.,3
i loved it!! you`re amazing,5
I don`t know how you do it,3
excellent idea!,5
"Finally feels like a nice summer day, and I`m feeling sick",3
Happy,5
Listening to Yultron!!,3
: no i`m not going.,3
appreciate their wives,5
chapter 27... probably on monday. i still need more comments.,3
Actually I think the NA release date was confirmed for September so it`s a bit more of a wait.,3
Hope so,5
i tried calling work 5 times and they wont answer,1
"I`m tired, exhausted and dissapointed",1
best Ja,5
Wants somebody to cheer her up,5
wonderful,5
"kick her ****,",1
Aww thanks!,5
"I empathise luvvie, I dont personally understand a grown mans need to dress in tartan in search for a little white ball",3
nice!,5
Brain just went blank,1
Going to see Angels and Demons tonight. It better not scare me!!,3
It will give me lulz from time to time.,3
getting **** up,1
Not good!,1
"@_iDANCE19 well yes lol ..  i had a chat with them earlier , there just not willing to learn anything else",3
The video is `private I cant see it,3
Wow slept in with no dolidh here to wake me up,3
i met him! hes from where i live !!! he goes clubbing the same places lol! i dont get twittter,3
Major iPhone problems  Wont let me send texts BUT I can do everything else! Can anyone help,3
my music collection will be coming up to 250gb soon.  haha,3
it depress,5
"Yeah, yeah. Less #degenerate than current occupants of U.S. House of Reprehensibles. You can bet on that. Like MineThatBird.",3
this time i lost my wallet,1
thanks,5
U SO funny but u right! I like BSB but Im not as fan than U I love much better Tupac & TLC..2 bad they`re not singing anymore,3
just making sure!,5
Can`t seem to find the new Mountain Dew Throwback in 12 packs....only in 1 liter bottles,3
down,1
cooler,5
Female and Male 3 year old Labs looking for new home  Family is loosing their home. Both must stay together. Contact me if interested.,3
"takin short nap, gym and work before kids come back home tonite",3
happy,5
hate,1
great!,5
sunniest day in ages and im in bed,3
****,1
"pretty bored, but I refuse to study.",1
me too... it goes to my phone so all night long sometimes my phone is blowing up... so nice to wake up to!,3
cute th,5
"Boss just texted me, I HAVE THE DAY OFF! YES< YES AND YES AGAIN!",3
sad,1
"Unfortunately,",1
lovely,5
forgot,1
.i think i picked a bad wknd,1
1st day of master cleanse...wish me luck,3
amazing right now.,5
stuck,1
m always offtopic and sometimes inappropriate,1
yum!,5
will do! I may just have to keep it on my shelf with the rest of my old cameras,3
I cried like a baby when we had to put our cat down 2 years ago...  For tears of happiness watch th,5
hates,1
excited,5
sunburn,1
"I be ok, you?",5
you guys look so nice,5
Goodnight,5
while you awake ?,3
"thanks! Ugh...what a bad, bad day I`ve had.",1
loveeeee her,5
Till then ..Ice Cream!,3
"- I only get bubble tea during the cambodian new year - only once a year  & when i do, i stand in line for over 10-15 min.",3
better,5
welcome home babe!,5
oh and i forgot my cell at home  thankgod for this crackberry,3
yard house too packed. Three people deep at bar.... went to pf changs....got right in,3
I need a blankie  this trains an icebox,3
I wish I had Left 4 Dead. But first I`d need something to play it on...,3
"That`s cause Ovie is the one man team and when they show Pens highlights, it`s the whole because we have more than 1 superstar",3
"awww ) where`d you get that? hugh is so thin. no traces of being wolverine yet. btw, who`s that other guy besides RDJ?",3
"Pick up that, as fast you can!",3
"trivia? Working, no computer!",3
"_bmac I knooow, I want to sail",3
"I need to go to ATL, mainly just to go to Ikea.  The stuff I want isn`t available online.",3
exhausted,1
cancelled,1
will love!,5
_Thrifty eBay 10 mile rule not working for me.  Too many pairs of leather trousers being sold in Aberdeen. Will try next week.,3
it`s not going well,1
much love to ya!,5
"Wkds are the worst, feel like a hostage.",1
"Possible case of H1N1 at Ft. Knox (KY) http://tiny.cc/gNYq7. Note: this is for info purposes only, so there`s still no need to panic",3
healthy,5
I miss,1
I want more followers.,3
she`s my hero and rocks my socks,5
he he! I will send it thru anurag,3
i feel somewhat accomplished,5
"That is awesome, the HM was tough for me",3
that never made it to the UK,1
"wow!  Nice roar, I see good things in your future",5
I don`t feel so good.,1
they certainly warmed mine,3
I really love this picture!,5
i was at the outlets too,3
Last night was awesome!,5
ACHE!!,1
good.,5
could be.,3
god you guys...i`ll call you guys...three way. to discuss.,3
I`ma need you to follow me real quick cause I can`t DM you,3
! I guess it`s worth the wait!,5
"@_refugee_ /me gets 'Your video will start in 15 seconds', Exiting to watch ... for minutes  #flash #linux #fail",3
Great!,5
funny,5
LOL.,5
Mamma Who Bore Me' hat es mir echt angetan.  90210 lÃ¯Â¿Â½sst grÃ¯Â¿Â½Ã¯Â¿Â½en. ^^,3
omfg  whyyyyyy not that sucks!!,1
aww  i hope u find it soon i miss it.,5
b I missed it.,1
interesting,5
miss,1
my boss won`t let me leave either,1
"I would do a #FollowFriday, but everyone on my list is already on everyone elses list so what`s the point?  I`m just not popular enough.",3
darn,1
tweettttt.,3
i guess im stuck with this uglyonee,1
Look at how far away I`ve gone... locked away in a room trying to work in silence and yet... constant 'urgent' emails and IM`s persist,3
", dammit",1
_2008 thanks  there`s a men`s version in June. It`s very popular.,3
Sorrry,1
"right my fellow fluffy flasher! I must go to bed, sorry  I hope everything is working properly 2moro and we can chat! love u x",3
good,5
were gonna go crazy before you leave,3
"after 4 years of trying, my cat today figured out how to open the under-the-sink cupboard.  time for a target run to buy safety locks",3
hey  how are you?,3
"yes, yes it is.",3
o stop making fun of me!,1
It would be amazing,5
Good morning Tweeple of the sun! What you all up to?,5
"great,",5
"I have to pee (**** coffee)  sooo long until break time. 77 more letters...what to write, what to write..oh, used them all up.",3
should be going nfg tonight,3
tired,1
!  i called and called. I think you should answer more. haha,3
_bbcrew dude im sleepy and went to bed as soon as i got home.  whhaacck.,3
"lol nah no swine flu for me bro. lmao what`s ur schedule like this week, I need to catch up!",3
*pokes and runs away*,1
Looks like the #GM Bankruptcy is going to happen. This loss will help offset the gains that I had earlier in the year tax wise. Oh well,1
e best picturisation ever,5
simply awesome Ra,5
iTunes music library is even bipolar!,1
"is having a profitable day!  Looking forward to Sunday...gonna be a great day -- sad, too, because it`s the 5th graders last day!",3
"Had drums, but they where made up of other peoples sets, so, had to give them all back",3
yupp t`s better than people being rude to her,3
"My first thought too, I`ve never even watched Dragonball",3
"dude, I can safely say I was blown away when I heard Attics.",5
"sooo, i saw RObs car drive by. but that was about it",3
_galore aaaw too bad .. i`m in a good mood to phone with someone  lol,3
heylo johnn (: im a huge fan. hope ur day is awesomee. cuzz im home sick and its kinda less than awesome.. anyways.. PEACE,3
annoyed,1
haha. Your a loser.  ily,3
I`m making a logo on photoshop & it didn`t work out..  hehe.. try again lah..,3
Cooking brown rice,3
`before you wake` - we sink ships photography exhibition is ONLINE http://tinyurl.com/dfs7fy please have a look,3
y didn`t want to,1
argh. Interested.,3
as any1 been up all night like me and now the birds are keeping you awake,3
Morning! Hows your day. Hope you`re not another lying in the sun,3
!Thank you so much for being so kind?,5
you both have so beatiful eyes,5
Making an iMovie of college,3
PLEASE MAKE THE LIVECHAT ON SATURDAY CUS I HAVE TO GO TO SCHOOL ON WEEKDAYS(5/6 AM here),3
just woke up,3
how can I read the Floyd article says it`s private,3
fun..,5
"i think it`s fun,",5
happy star wars day.,5
I`d have read it but I`m not sure you would have wanted my opinion,3
Morning...tired should i excercise or jus relax need to catch up on sleep..Ladies would you like to see Shemar Moore @ Embassy? Hit me up,3
I`m so glad my concert is still a week away...I`m getting so sick and I need the time to recover!! My lungs hurt so bad right now,3
****,1
YAY!I,5
love,5
supposed to be great weather today & 2moro; just my luck Im stuck in work 1-10 both days!,3
<--has no internet for the weekend,1
whens your little gingg getting twitter ? from g + j,3
I`m going to open up PROVERBS and get as much wisdom as possible-I`m hungry!,3
love,5
good,5
thanks.,5
****,1
Duhhhhhh.,1
R.I.P.?,1
3am i still cant sleep,1
crappy,1
I`m all done with my work,5
lol,5
and why can`t toy story come out this june,3
been sick,1
good!,5
i miss you,1
i kno she`s disappointed in me.,1
Waaah! Masseuse is fully booked. No shoulder rub today.,3
Venti Black Ice Tea with 8 pumps of classic,3
d happy mother`s day!,5
spat,1
wonderful,5
i have to go to the doctor... i don`t want to... cause there i can wait sooo long...,3
completely dumb,1
d I`ll never get what i want,1
. Happy,5
Britains got Talent just gets better every week,5
.awesome,5
Out with the guys playing 10 pin & doing Mexican! Great combo! My bowling was not so good though  I blame it on my previous broken arm!!,3
"I`m sure all will fine and dandy, thanks",5
It`s beautiful outside.,5
Aww,1
"oh, I am sorry my friend. Katie & I will do our best to keep you cheery",3
he already got a shot at having his own show and didn`t prove himself,3
thankyooooou,5
not impressed,1
"I miss my doggy,my hammy,my turtle && my fishes",1
this is so exciting!,5
mymaths time....if only i cud read the mind of a nerd durin the exam,3
Ur friend  sent me,3
an amazing song,5
"Good god, no.",1
Have a great summe,5
?CE d grade?mock?,3
"Other people have their Glasgow ones, standing and seats, for all nights.",3
miss,1
small? we cant choose?,3
anymore,3
wishing my days off were the same days that people wanted to party.,3
"Whar a Night! Woo Hoo! Yeah! / A beautiful night to party! / Oops, I`m a stapler...",3
finally home for once after a dope **** week,3
Off to see the Doc in a bit to get the knee checked out,3
"lol..well..no. I`ve had insomnia since I was 23 :-/ & since then dont sleep a lot of hours, but the ones I do are great!",3
"just not happening,",1
going camping in a coupla hours. gotta pack everything... by myself,3
"got in a fist fight with a old biker guy.......and how dare you even ask, yes i kicked his ****",1
"I am mid-detox, I won`t eat any",3
working weekend it looks like,3
good,5
time to play,3
HE`S COMPLETELY AMAZING,5
By newark,3
is up for lots of revision today and then out toniight,3
just woke up to a flat tire,3
currently unemployed,1
awww i missed,1
"hey hunny bunny, what`s a weekend? is that like a day off or something?",3
DIVERSITY DIVERSITY DIVERSITY TODAYYYYYY!!!!!!!!!!!!!,3
glad to hear,5
****,1
hope,5
"I`m searching, too. We`ll compare notes.",3
Sorry if I`m unsociable I`,3
why do I always wake up ONE minute before my alarm is scheduled to go off??,3
*cough* star trek *cough*,3
hope,5
hurts,1
I chilled in my room with my baby book missed my bro leavin  he really is cool had a stripper shirt on said I suppoort single moms! Funny,3
Hahaha!,5
"- u aint lost me, i`m right here",3
"Hope Ye Got Dem; Ur Site Is Amazing, I Got On Everyday; I Tryed My Own, & It Failed  Lol,",3
best,5
Excited!!!,5
so much to do!,1
"On way to the wimbledon with  to watch star trek, IMAX baby",3
gutted,1
Ok so this shower has been calling my name for about an hour I think I`ll indulge & respond now while I allow Robin Thicke to serenade me,3
the perfect after food...,5
I`m learning to,3
i was singing she`s not impressed,1
"babe  ive been aight, urselff?",3
at work,3
he`s pissing me off.',1
"actually, i really do. mostly when i forget to take off my makeup before bed",3
Gud nite all..,5
i like,5
HAPPY,5
who is ....lili homie...LILI.... and i am black  75% to be exact lol,3
Happy,5
Happy,5
is wishing good night everybody,5
didnt get it clear,3
y babies r the best!,5
de wereld need more ppl like you!,5
Another loser: ****.,1
http://twitpic.com/4ws8w - Look who I brought home,3
h: you lack time,1
- NOT A HEAP HEY. JUST BOUT TU HIT THE SACK. ITS 1.15AM HERE. I NEED SOMEONE TU CUDDLE. SUCKS  WBU.?,1
"**** straight you know what the game is, and if you`ve heard the tracks you`ll know why I`ve been rocking out",5
im hyper & im bored,1
_GANT popularity contest and they think twitter will help.... and it`s become trendy,3
People eight years my junior can`t understand most of my references,3
whoops..,1
in my opinion one gray hair is one too many... I have way too many as well,3
graandma`s houseee  i havee too leave now! <3,1
interesting,5
star trek pretty much rocked my life,5
e makes for great entertainment on TV  It is great to try and figure out the kill,5
My phone is ultra fast now with all the latest firmware updates installed!,3
fun.,5
"Yes, it is nice.",5
that`ll do it too,3
STARVING.,1
im goo,5
"Um, why arent episodes 1-14 of Lost season 5 on abc?!  Good thing Im going to Vegas in the am to keep me distracted from this tragedy.",3
i love kenan,5
i can`t do,1
I should be asleep  trying to be...,3
watching 48 hours,3
wants see my friends  ;-) http://plurk.com/p/wxnwa,5
excited,5
getting back from smackdown/ecw show,3
the apartment is starting to feel like mine.,3
June gloom is upon us.,3
Ben I Love yahh babe <333! i miss you hope to see u tomorrow  Mommy i love  you tomorrow happy mothers day! happy mother day to all moms!,5
splendid ev,5
"dont undrstand malaysian busays.just english,tagalog at waray only",3
"You`re welcome!  Math is really *not* my favorite thing but it`s also so useful, so..",3
what a great Sunday,5
Apparently today is Happy Star Wars day.  I`m suppose to say may the 4th be with you.,3
Sorry if I`m confusing anyone. I keep forgetting to . The desktop Twitterific  is not so terrific  Very different from iPhone app.,3
sorry,1
Awesome,5
is back to revision. Bye bye Hannah  <3,3
Happy?,5
wrong,1
Fun times,5
You can`t even gift money away these days.  re: http://ff.im/3lqUx,3
ao`s leave me,1
won,5
sorry bout 2day,1
Trying to figure out how to use this twitter thing  Hahhh,3
g   Thank,5
everybody is leaving work early except me,3
"3,144 words later, it`s bedtime",3
Enjoyed,5
"Good Morning, it`s beautiful here today. Shame I`m going to spend most of the day being an unpaid taxi driver.",3
Ill have a photo up tomorrow! Kay,3
"bugger, that would have been nice but typically, we`re heading to Bristol",3
"It`s all over now...now I have to go talk to people in Melrose...cashier, registrar, etc. All those unfun places",3
"Wathing Dollhouse on Hulu, eating the special from El Taquito and a beer. B-day week is going well",5
"Omg. I am so sorry. Sorry,",1
- I used to have NKOTB sleeping bag too!!  I don`t know where it is now,3
thanks!! Yes!! A lot!,5
You can be Cinderelliiee,3
HAPPY,5
good to be back & go to the junction with the coolest people at ollies,5
Go to the setting on the iPod/iPhone home screen & scroll to the bottom & you will find twitterfon settings,3
Aw what about me,3
i`m on relapse  mom and dad i need you. jesus **** christ you stay away.,3
bad,1
fail,1
"sorry 2 hear albert isnt well? dont know whole story, so i`ll keep ya`ll both in my prayers. (((hugs))) 2 u both!",3
camera died right at that moment.,1
funny,5
_Steve yes....but now I`m not going to be paid to be in the pub,3
OMGosh I just saw Hattie wake up! Must be summer when your garden hedgehog comes out of hibernation,3
fun,5
",  In pre-Twitter days, I`d need   to wait  for a formal  invitation  to speak on edu2.0  from",3
opps try that again the keyboard is all back to front  Mac to PC and back madness really Chef,3
Summer is really ending. It`s raining.,3
I kind of miss my old phone already.,1
"Recovering from my crazy family. I love them, but they ain`t got it all   I only see em a couple of times a year, so I guess I can deal.",5
"funny,",5
Listening to some house music!(what else?) I got a gig in San Francisco next Friday. BE THERE  details on my www.myspace.com/djspy,3
suck,1
glad,5
"work at one sucks, I miss happy hour",1
d the problem I had of doing it all myself  good idea.,3
"now I know why it didn`t work, just not too keen on paying though for a 2ndary social network",3
Test discovery just missed being in Py3.1,1
Downside though is that you`re breaking the thread.,3
wo coffiees to go pleaz!!,3
died,1
i dont want it to be over,1
"congratulations,",5
"Oh, no need to stop. I could use the ego boost.",3
Nice,5
"Just chillin` in pjs after a short, but long week - why is someone continually knocking at my door?",3
thanks,5
sorry,1
Coming to the end of my vacation.,3
d happy,5
Loving,5
i really want to see you guys,5
I want noms,3
"_reality ****, you`re gonna feel that tomorrow, or tonight. Coffee = laxative.  How`s the writing coming?",3
****. ohhhh.,1
what happened to my real-time feed? Now friend feed is just like the Twitter website,3
honour,5
it wasn`t that good tonight,1
Wants to go sit in a park but should really be painting the bathroom,3
my internet just crashed  i will ttytomorrow.,1
hope,5
Thanks,5
rblpnqte : 'sheesh I am sending one up to you .  I think you could use it  lol' RB DELUX... ? http://blip.fm/~5z36j,3
Morning workout sesh.  Love Life.,5
ultra sweet,5
sorry,1
may the 4th be with you,3
yum.,5
Preston stayed home and I don`t know why,3
"'Her`s before mine' hon. It`s one of few rules I do NOT break, under ANY circumstances.",3
good,5
awesome!,5
"haha I was JUST talking about that to my colleague. I have 539 DMs, only 15 - 20 are actual messages and not spam",3
hope your day was good!,5
yes dear....  ... I`m opff bbl8r,3
would love to help.,5
", like your new pix!",5
musical theatre actor'  i wish :`,5
were great,5
dinner smells good..,5
Going to revise for physics.,3
Happy,5
hmmm i neeeddd foooddd  nd is looking forward 2 playing with the puppy 2 day nd seeing lewishhh,3
you are beautiful!,5
-#FollowFriday is easy enough for those who are annoyed by it.  I recommend relatively few people anyway.,3
Congratulations,5
good.,5
sad,1
miss high school lunches. A lot. ****.,1
Going to bed  how`s ever reading this,3
"never.  smh, I don`t own flats  lol",3
Working   But it`s Fridaaaayyyyy,3
"All this talk of buttershots has me wanting some!  Maybe I`ll have a small bit over ice, I haven`t had any since faire.",3
"don`t hurt me,",1
Got back from helping my sis with stuff for my niece`s 1st birthday. I saw a PSP/DS lite car charger in Toy Kingdom SM for only P250!!,3
that would be most ideal. However...now I dont see myself leaving before 3  Gonna have to take a rain check,3
I jus planted a garden in my backyard,3
really guilty,1
so i can just watch that again  x,3
g happier that`ll make you feel better,5
I will try. But I don`t care what my mum says,3
4 I just noticed that too,3
I`ve just realised - 400 FOLLOWERS! YAY!  ****,3
bumped my domain zemote.com out of the #1 spot,1
Is sad wh,1
Go get `em!,3
deserve an award.,5
"the ending is te funniest, you`ll see. ;)  you know paranoif is always stuck in my head?? Love it.",5
i want pho... i`ve never had it before.,3
my brain has become a converter ed. i`ve been converting into LM for  the past 2 yrs. every 5 mins of every single day,3
n thanks,5
"horrors,",1
little sad to,1
2moro is the end of my stay  to bad shes in NY Then off 2Ft Laud 4a weddin Florida is fun but i miss Home and Spike(car) lol,3
Back in Spain,3
_ryan Just...it`s quiet a bit of it tbh xD,3
hopefully im getting my new windows tomorrow. still using my mums lap... birthday tomorrow eve and facebook doesnt work somehow.,3
My glass is empty. Will someone be a dear and fetch me another?,3
"1 AM & time for bed, nite all",3
missing him like crazy.I,1
"awesome to meet you all lol,",5
"Hi, what are you a consultant for?",3
looking forward,5
missing the gf soooooooooooooooooooooooooooooooooooo much.,1
"wow, thats so cool!",5
where are ya headin to for your family vaca? i hope the paparazzi leave you alone,3
`s an important date!,5
_m  yeeee  so wassup?,3
"Tired from work. I hate closing, eek. But all smiles today.",3
aw it was so sad  shes too cute!,3
**** i always miss it,1
Happy,5
Justin`s blanket shed black lint all over my white skirt.,1
is working tomorrow all day so can`t do anything tonight  Whats the plan for Saturday?,3
God Bless you brother!,5
popular,5
thankful,5
_03 He`ll know Tupac lyrics too!,3
sorry,1
absolutley gutted,1
sunburn,1
complicated sh-t,1
Have a great dayyyy,5
!  You`re good people,5
best,5
First Day for research at Edmonton General,3
or maybe start your own Arabic teaching podcast?,3
loving,5
May the 4th be with you  I couldn`t resist!!,3
CAKE is sold out at terminal 5,3
everybody needs some time on thier own  Guns N Roses x ? http://blip.fm/~5z5kz,3
great,5
i feel sick after that oreo and cheesecake milkskake  lol,1
h shocked the hell outta me,1
Lol. She`s offering me a case of guiness!  can you one up her? If you buy me two I`ll stay. Let`s start the bidding wars,3
Sitting here twittering~~up at 3 am yuk! I want some messages!  Blue Monday!!,3
dizzy,1
not good.,1
Music soothes the soul...,5
Dont like this part of the job,1
": You must rest, don`t work hard  How abt Cr-chan ?",3
"still babysitting, i want another boost",3
Enjoyed,5
"so disappointed with human kind   'What`s wrong with the world?'  I have five girls in the garden, innocently enjoying the good weather..",3
what?! i just missed home + away! nooooooooo,1
douchebag,1
Life is not fair!,1
LOL well i`m qlad u enjoyed yur ramen noodles.. i had fried chicken  ..im tired now,3
e but i love her to death,5
I couldn`t find P4 so I couldn`t show Brantley my feet  and now its raining,3
took my computer in for a new dvd drive & screen wouldn`t come back on  Had to order new computer & wait...,3
I missed a lot of classes,1
sun - where are you?,3
Crazy debt issue.,1
Longggg day,1
It was heaps nice there.,5
i liked,5
so busy,1
s great!,5
"GOSSIP GIRL, WHEN ARE YOU COMING BACK  ! chaceeeeeee..",3
Eurgh.. Revision.. Who invented History?,3
Happy Star Wars Day !!,5
.just don`t start cats on fire..,1
Feels good.,5
"Not making good time,",1
"Wow, just saw your Tweet about the Proflowers fiasco. That`s so not fun!",3
"I never know whether they include me. Just straight white men, right? I wanna be part of the problem too.",3
Sadness,1
had a great day,5
woke up way later than I intended to today  Need to start getting to bed before 5 a.m. b/c this will be a bad habit to break later,3
coffee and gym... starting the day off right!!,3
good morning.,5
weak!!,1
got mad cramps in my legs,1
I LOVED IT!,5
"C`mon, we`re talking about philos-ophy - the love of wisdom.   I need a 'mat' - a context to intersubjectively 'ground' it",3
10 25 Am Still waiting on the doc to come and break my water.,3
im sick,1
ya i can never watch any of them :l,3
caught up,1
KILLED,1
castlebar doesnt have 3d so im going to galway to see the jb 3d movie but that could be next week or the one after that,3
best,5
h i lovee itt,5
of couuuurse fika  i`ll pray thes best for you then.,3
awww! thats sweet,5
bored,1
amazing,5
amazing,5
I can barely focus,1
"pissed,",1
Ughhhh.,1
sunnn finnalllyyy!!  aint slept :| need some sleep,3
hey Samantha welcome  and happy mother`s day!!,5
unhappy,1
y hated,1
"Yeah, if I lived on the rez, I`d already be dead.",1
forgot,1
soooory,1
ready with learnin today!!! .. and now its twilight time,3
"Who starts a briefing at 7:30 a.m.? People on the East Coast, that`s who.",3
Thanks,5
Gone have my ears on it when I am at home ..plenty of painting for you as well,3
I hope that she has a wonderful day.,5
says just passed by to say hi  busy with movie task from school,3
illogical,1
Oh no one minute too late! Oh well,3
happpy,5
But ... but ... who will produce the next Starsailor record?,3
**** it`s good,5
look like i can only quick post from the dashboard that is all,3
Thanks,5
"K now that, that fiasco is all wrapped and good too go  back to studying for midterms =(",5
No. I won`t be back until the 7th,3
Sooo tired and have a headache-all self inflicted of course! Good times though,3
congrats,5
super cutie in front of me. Too bad he`s wearing a **** bracelet with a girls name on it,3
glad u feel like cooking I`m so tired,3
UGh!  Gotta take authority over the time 2day!  Say hello! Don`t be a stranger! BeBlessed!,3
hope,5
far too warm,1
my babe,3
I luv urs! admitting niley with a kiss (: but then they change their minds  haha & demi/sterling (: not jemi but still cute,5
I am so nice,5
e discretion,1
Oh my goodness!  How AWFUL,3
t amazes,5
"I`ve lost count of the number I`ve rung today already    Were going to Wales, but I`m due in court on monday",3
is having to miss the homesssssskooooler,1
"i would direct message you regarding blogging while brown, but a sista hasn`t mastered that technique yet  ..lol",3
it doesn`t work with the iPhone yet   I love it for the simplicity but I need to be able to sort tasks on my iPhone to be useful,3
byeeeee,3
"Dilemma, what to wear: Now: SanFran Foggy and 58 , then Sacramento in cple hrs sun and 86 degr .",3
Spent last night in A&E (ER). Wife tangled wheels with Daughter & hit the deck. Dislocation & fracture resulted.,3
On the train now. I forgot by charger  that means no whoshere for me today till I get home haha!  but I`d still tweet u guys! ****,3
i`ve just open this thing,3
Going to my favorite Greek Resturant after church for mom`s Day!!!!  Loved you on,5
nice,5
can`t find her favorite Nike shorts,3
I left mine in music...i think i don`t have a camera anymore,3
twitter tends to do that to us,3
Thank,5
"aww yeah, it`s more fun revising with others but you get distracted easier >.< yeah I`m tired, revising history",3
missed,1
So I love my mac but msn doesn`t work on it still,3
exciting Sunday,5
cba with exams! 17 left!,3
Bored.,1
ooh which two books did you buy?,3
"Aw, Kaelah I feel so bad for you. This sounds serious? Please get better soon. I admire you for still working hard and stuff.",3
To bed I go   Nighty Night,3
glad,5
gorgeous,5
t im still missing you.,1
worth,5
I like them.,5
I`m not a big fan of Costa,1
hates the sound of silence..doesnt like being shut out..,1
adore Mark,5
"Muffins: Muffins are delicious, Muffins are neat, I have no more muffins to eat.",3
Sounds like you`re in for a great day!  Enjoy,5
"It was a lot of stress, though, so with that and supporting two big families he never quit smoking and died of lung cancer at 51.",1
good,5
unlucky,1
Nice sunny day,5
"Missing my husband, but it was nice to wake up in my parents` house. The dogs are ecstatic",3
love,5
a great,5
Sick,3
it does.,3
it`s not going so well!,1
good night,5
Meeeee! It sounds delicious,5
upset,1
bad,1
sadly,1
goodnight!,5
just ain`t right!!,1
Sleeping on the streets of nyc for a celebrity...nothing new. Wish i had a huge blanket though,3
that was an interesting show,5
Wohoo!,5
another rainy day,3
'i hear its wonderful in california.',5
curious if they fixed the window handle in our room in the meantime,3
so i`m screwed,1
good!,5
miss,1
baby alex i miss you  ily<3 good night</3,5
--- has demi ever replied to you? Coz I haven`t got any...,3
"Hmm, no holga for me probably",3
"Wow,",5
"Just watched the trailer for the new Sam Raimi movie, Drag me to Hell.  Looks interesting, but there was no humor in it.",3
In Paris till friday!!,3
ugh i wish this school year would go faster so i can move on in life,3
t thatwouldmake1of myFRIENDS happy,5
"Which do you prefer? Hamdemic, Aporkalypse or Parmageddon?",3
#NAME?,3
slave.,1
a miss my lil bro`s,1
special,5
"cALL mE wiErD, bUt I jUs LuV rAiNy DaYs! MaKeS mE feeL sO waRm & cOzY iNsIdE  LoL",5
I cant watch anythgin till tonight,3
My baby is going to her first sleepover tonight   I`m gonna need a lot of wine to get me through today,3
trying to fix some weird query,1
i love,5
"Cool! I have one (from a decluttering friend), but I don`t know how to play",3
I am thankful!!,5
then maybe we should ask Him for a raise.,3
No trips planned yet but I`ll let you know if there is,3
SMH @ PPL WHO ONLY TWIT U UP ON FRIDAYS B/C U GOT 100+ FOLLOWERS AND THEY`RE STILL BANKING 15-20  #NOFAKERY,3
"_Kimbalicious Lol! I was just walking  I think its all the polish I used while cleaning earlier, its made the floor slippery!",3
reeeejuvinated  and bored as hell.,3
"bored, nothing to do",1
Sounds nice!,5
last day of classes!!,3
hope,5
d suppose to be nice,5
getting ready so i can go out,3
would make a wonderful Mother`s Day present!,5
thanks,5
The dayem computer  #twpp,3
happy mother`s day!!!,5
bad,1
nice productive day,5
Eating a bagel  yummy,5
"Can`t sleep, just laying here in the dark",3
I hope,5
Last day of college today!,3
terence cao over-dose  im fainting.,3
Lmao Yes its on the 27th  I get so excited,5
great,5
cruel,1
There`s starwars day? ) OMG Rocio!,3
Doing really well!,5
nothin to do,3
hope,5
special,5
i am talking on the phone!!!!!! to paul!!!,3
"OK nice one, cheers boss.  Am liking the lack of FCS today.",5
OOh but you soon get to meet the dung mice!!,3
that`s awesome.,5
Imma miss you!,1
oops,1
Finally lost FM97,1
6th street was amazing this weekend!!! The wedding was fantastic.. but im really really tired at work from the long eventful weekend,3
happy,5
best,5
besties,5
so much fun!!,5
Thanks,5
my sis doesn`t want to  well,1
am hungry agaaaaaaiiiin maaaam,1
"had a nice nap, finished some work, wrote bills, I have a surprise for you",5
lower than zero..,1
you may have to email the tech support ppl. that`s odd.,1
"Hey, where do you go last night?  Was expecting to see you @ On Broadway.",3
good,5
yeah i did  i remember it na....... i did watch it before,3
it wont work in the uk,1
Claude Debussy is my homeboy,3
So good! Glad you finally got to see them,5
"Ah so 15 months. I`m sure he is advanced, and it`s not you being biased  they seem to grow up faster these days - now I sound old!",3
ah same  how was oliver?? so anooyed i couldnt come. we are the only ones with twiiter  its great!,3
the whole day.,3
missed!,1
OMG SO srry to hear that,1
looking for my self... be right back.,3
"thanks,",5
Isn`**** exciting,5
awesome.,5
i will do that..,3
really??,3
hurts!,1
I would be very grateful,5
The last day of the last time I visit my parents as an unmarried woman,3
relaXin on my day off.,5
thanks,5
happy,5
still page one on Google   still cant quite believe it   not spent a cent to get to page One..... Wow what next...Mmmm,3
"Good morning, everyone!",5
ratty,1
"one of my favorite,",5
"Sorry william, gonna have to wait till next weekend ti",1
charged,1
gotta get up in a few hours...booo  gooodnight!,3
"Come on bell, RING. I want to go outside.",3
i don`t know what lender it was? yea these people definitely sucked butt toes. NOT friendly or helpful.,1
Rejected,1
ch ****,1
s sad,1
"exciting,",5
